"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.14856800295945e-114,1.52304254973997,0.972,0.589,2.66008349485409e-110,"0","RYR3"
1.16094964061176e-113,2.02801310133574,0.725,0.201,2.68875936765683e-109,"0","ANK1"
2.77489040159948e-111,1.71061298960609,0.903,0.492,6.4266461701044e-107,"0","AC069410.1"
2.55512215899734e-92,1.68966979622011,0.73,0.245,5.91766292023783e-88,"0","CPB1"
1.29748675885511e-88,2.12552221064564,0.66,0.23,3.00497933350843e-84,"0","LRRC7"
5.13853814220087e-85,1.72445387899588,0.669,0.221,1.19008543373372e-80,"0","KEL"
2.64813386236653e-81,1.31257576877965,0.92,0.732,6.13307802524089e-77,"0","CDC42BPA"
6.92764954117056e-77,1.86335775230143,0.604,0.188,1.6044436337351e-72,"0","LINC02046"
1.65778836941696e-75,1.74905504407156,0.745,0.384,3.83943786356969e-71,"0","ACSM3"
1.39263529801243e-72,1.03806150281079,0.978,0.823,3.22534335019679e-68,"0","XACT"
3.4030942336349e-207,3.96255200431234,0.713,0.055,7.88156624509844e-203,"1","SETBP1"
8.33802628006352e-205,3.15941743185122,0.874,0.12,1.93108688646271e-200,"1","RBPMS"
1.62651196255011e-193,3.53819178652019,0.732,0.069,3.76700170526605e-189,"1","CRHBP"
1.40002697371941e-175,4.20060593462584,0.574,0.034,3.24246247113416e-171,"1","RASSF6"
2.22834851804114e-173,2.87968448076026,0.88,0.159,5.16085516778329e-169,"1","UNC5C"
6.46526385031818e-166,3.29396474416147,0.688,0.077,1.49735510773369e-161,"1","ZFPM2"
4.1500271286915e-146,3.36814564368875,0.565,0.05,9.6114628300495e-142,"1","PREX2"
3.21506687190037e-144,4.96241240451898,0.401,0.012,7.44609487532125e-140,"1","AJ009632.2"
3.86965131535921e-144,2.80840232260777,0.71,0.102,8.96211244637193e-140,"1","SYT1"
1.51497432696708e-138,2.4214559942329,0.798,0.152,3.50868054125576e-134,"1","SPINK2"
9.80755153976074e-119,2.70914270359963,0.813,0.234,2.27142893660859e-114,"2","CSF3R"
6.69292472932504e-99,1.81826864790615,0.994,0.599,1.55008136731168e-94,"2","ATP8B4"
1.73859164486095e-90,3.81261847452692,0.394,0.042,4.02657824949797e-86,"2","TSPOAP1"
3.14502935721467e-75,3.57734578882427,0.352,0.042,7.28388799130916e-71,"2","CLEC12A"
1.91261156869338e-67,1.32707757759538,0.977,0.74,4.42960839309387e-63,"2","PLCB1"
6.8742470930823e-58,1.46255593413162,0.852,0.432,1.59207562675786e-53,"2","AL589693.1"
1.5264618395738e-57,4.08365651182867,0.374,0.075,3.53528562045291e-53,"2","MPO"
5.59715628394588e-56,2.2135172526436,0.603,0.21,1.29630139536187e-51,"2","HSH2D"
1.59747844451924e-53,3.24588478132374,0.281,0.039,3.69976007750656e-49,"2","RFX8"
2.65512581271486e-53,5.00126466105759,0.177,0.009,6.14927138224761e-49,"2","AZU1"
1.88221887432818e-123,2.79221787624125,0.812,0.188,4.35921891294407e-119,"3","DIAPH3"
